local,ano,total
Uruguai,2015," 	1,993 "
Venezuela,2015, 	51 
          Ásia,2015, 	151 
China,2015, 	14 
Índia,2015, 	6 
Israel,2015, 	34 
Japão,2015, 	13 
República da Coréia ,2015, 	24 
Outros países da Ásia,2015, 	60 
          Europa,2015," 	1,504 "
Alemanha,2015, 	236 
Áustria,2015, 	11 
Bélgica,2015, 	15 
Dinamarca,2015, 	18 
Espanha,2015, 	269 
Finlândia,2015, 	2 
França,2015, 	161 
Grécia,2015, 	6 
Holanda,2015, 	33 
Hungria,2015, 	3 
Inglaterra,2015, 	125 
Irlanda,2015, 	7 
Itália,2015, 	342 
Noruega,2015, 	11 
Polônia,2015, 	25 
Portugal,2015, 	50 
República Tcheca,2015, 	6 
Rússia,2015, 	26 
Suécia,2015, 	17 
Suíça,2015, 	99 
Outros países da Europa,2015, 	42 
          Oceania,2015, 	75 
Austrália,2015, 	53 
Nova Zelândia,2015, 	20 
Outros países da Oceania,2015, 	2 
África,2016, 	19 
África do Sul,2016, 	5 
Angola,2016, 	9 
Cabo Verde,2016, 	-   
Egito,2016, 	-   
Gana,2016, 	-   
Marrocos,2016, 	-   
Moçambique,2016, 	2 
Nigéria,2016, 	-   
Quênia,2016, 	-   
Tunísia,2016, 	-   
Outros países da África,2016, 	3 
América Central e Caribe,2016, 	53 
Costa Rica,2016, 	14 
Cuba,2016, 	12 
El Salvador,2016, 	4 
Guatemala,2016, 	1 
Haiti,2016, 	9 
Honduras,2016, 	2 
Nicarágua,2016, 	2 
Panamá,2016, 	2 
República Dominicana,2016, 	3 
Trinidad e Tobago,2016, 	-   
Outros países da América Central e Caribe,2016, 	4 
América do Norte,2016, 	947 
Canadá,2016, 	131 
Estados Unidos,2016, 	729 
México,2016, 	87 
América do Sul,2016," 	200,715 "
Argentina,2016," 	181,139 "
Bolívia,2016, 	127 
Chile,2016," 	15,133 "
Colômbia,2016, 	143 
Equador,2016, 	37 
Guiana,2016, 	9 
Guiana Francesa,2016, 	-   
Paraguai,2016," 	2,120 "
Peru,2016, 	163 
Suriname,2016, 	-   
Uruguai,2016," 	1,777 "
Venezuela,2016, 	67 
Ásia,2016, 	161 
Arábia Saudita,2016, 	1 
Bangladesh,2016, 	1 
China,2016, 	23 
"China, Hong Kong",2016, 	-   
Cingapura,2016, 	5 
Filipinas,2016, 	7 
Índia,2016, 	24 
Indonésia,2016, 	-   
Irã,2016, 	-   
Israel,2016, 	43 
Japão,2016, 	10 
Líbano,2016, 	-   
Malásia,2016, 	-   
Paquistão,2016, 	-   
República da Coreia,2016, 	27 
Síria,2016, 	-   
Tailândia,2016, 	-   
Taiwan,2016, 	-   
Outros países da Ásia,2016, 	20 
          África,2017, 	6 
África do Sul,2017, 	2 
Angola,2017, 	-   
Cabo Verde,2017, 	-   
Egito,2017, 	-   
